21_21kbar xd,21_21kbar yd,21_21kbar xf,21_21kbar yf,22_06kbar xd,22_06kbar yd,22_06kbar xf,22_06kbar yf,25_2kbar xd,25_2kbar yd,25_2kbar xf,25_2kbar yf,24_92kbar xd,24_92kbar yd,24_92kbar xf,24_92kbar yf,26_43kbar xd,26_43kbar yd,26_43kbar xf,26_43kbar yf,24_0kbar xd,24_0kbar yd,24_0kbar xf,24_0kbar yf,23_14kbar xd,23_14kbar yd,23_14kbar xf,23_14kbar yf,26_8kbar xd,26_8kbar yd,26_8kbar xf,26_8kbar yf,20_0kbar xd,20_0kbar yd,20_0kbar xf,20_0kbar yf,27_8kbar xd,27_8kbar yd,27_8kbar xf,27_8kbar yf,23_9kbar xd,23_9kbar yd,23_9kbar xf,23_9kbar yf,x15nv04_1,y15nv04_1,x15nv04_2,y15nv04_2,x15nv04_3,y15nv04_3,x15nv04_4,y15nv04_4,x15nv04_5,y15nv04_5,x15nv04_6,y15nv04_6,x15nv04_7,y15nv04_7,x15nv04_8,y15nv04_8,x16mr05,y16mr05
0.000065,0.132743012,5.75E-07,0.891078878,0.000065,0.281927114,5.75E-07,0.923492505,8.5E-05,0.95144096,5.75E-07,0.996592865,0.0021,0.690242591,5.75E-07,0.99507831,0.0021,0.914963963,5.75E-07,0.998758762,0.00021,0.812476078,5.75E-07,0.99029331,8.5E-05,0.704634331,5.75E-07,0.975537061,0.0024,0.947871028,5.75E-07,0.99927622,0.000035,0.005435754,5.75E-07,0.533601577,0.00026,0.977291421,5.75E-07,0.99967538,4E-05,0.957051614,5.75E-07,0.998861558,1.45E-03,9.88E-01,0.00145,0.986199762,0.00145,0.988836845,0.00145,0.990642282,0.00145,0.990955678,0.00145,0.990738281,0.00145,0.991544565,0.00145,0.993593285,4.00E-05,5.18E-01
0.00007,0.119447064,6.28E-07,0.886153967,0.00007,0.265802442,6.28E-07,0.920020613,9E-05,0.942577726,6.28E-07,0.996437695,0.0022,0.68255208,6.28E-07,0.994854164,0.0022,0.912482037,6.28E-07,0.998702232,0.00022,0.804202013,6.28E-07,0.989851263,9E-05,0.690049878,6.28E-07,0.974423365,0.0026,0.941713375,6.28E-07,0.999243257,4E-05,0.019643032,6.28E-07,0.515207935,0.00029,0.982011821,6.28E-07,0.999660596,4.5E-05,0.95363772,6.28E-07,0.998809709,1.55E-03,9.83E-01,0.00155,0.979835726,0.00155,0.985644663,0.00155,0.990174166,0.00155,0.992172865,0.00155,0.991975391,0.00155,0.992801297,0.00155,0.99484109,4.50E-05,5.15E-01
0.000075,0.106073807,6.85E-07,0.881009776,0.000075,0.249677771,6.85E-07,0.916392361,9.5E-05,0.952258137,6.85E-07,0.996275457,0.0023,0.675674755,6.85E-07,0.99461981,0.0023,0.911806338,6.85E-07,0.998643127,0.00023,0.80215915,6.85E-07,0.989389088,9.5E-05,0.690560717,6.85E-07,0.973259007,0.0028,0.933266081,6.85E-07,0.999208793,4.5E-05,0.033349253,6.85E-07,0.496342155,0.00031,0.985648674,6.85E-07,0.999645138,5E-05,0.953655846,6.85E-07,0.9987555,1.70E-03,9.85E-01,0.0017,0.981378143,0.0017,0.984980942,0.0017,0.988613782,0.0017,0.98944554,0.0017,0.988770529,0.0017,0.989013726,0.0017,0.9913788,5.00E-05,5.05E-01
8E-05,0.101992626,7.48E-07,0.875637021,8E-05,0.249677771,7.48E-07,0.912600876,1E-04,0.941819781,7.48E-07,0.996105831,0.0024,0.669417829,7.48E-07,0.994374784,0.0024,0.909790693,7.48E-07,0.998581331,0.00024,0.800302849,7.48E-07,0.988905868,1E-04,0.670714622,7.48E-07,0.972041689,0.003,0.930746678,7.48E-07,0.999172758,5E-05,0.02542118,7.48E-07,0.477026042,0.00034,0.978997202,7.48E-07,0.999628976,5.5E-05,0.962725324,7.48E-07,0.998698821,1.80E-03,9.89E-01,0.0018,0.990595022,0.0018,0.988230014,0.0018,0.989435278,0.0018,0.987939528,0.0018,0.987645506,0.0018,0.987693288,0.0018,0.989544083,5.50E-05,4.94E-01
8.5E-05,0.087234037,8.17E-07,0.870026092,8.5E-05,0.217428429,8.17E-07,0.908639005,0.000105,0.951608989,8.17E-07,0.99592848,0.0025,0.661394687,8.17E-07,0.994118599,0.0025,0.907012637,8.17E-07,0.99851672,0.00025,0.794724618,8.17E-07,0.988400646,0.000105,0.676752346,8.17E-07,0.970769008,0.0032,0.924319303,8.17E-07,0.999135083,5.5E-05,0.024447494,8.17E-07,0.457286682,0.00037,0.977817102,8.17E-07,0.999612079,6E-05,0.96968,8.17E-07,0.998639561,1.95E-03,9.87E-01,0.00195,0.98240015,0.00195,0.985429744,0.00195,0.987507745,0.00195,0.989589952,0.00195,0.989098487,0.00195,0.989650779,0.00195,0.992187654,6.00E-05,4.87E-01
9E-05,0.076444406,8.91E-07,0.864167052,9E-05,0.201303757,8.91E-07,0.90449931,0.00011,0.936418673,8.91E-07,0.995743052,0.0026,0.654335082,8.91E-07,0.993850747,0.0026,0.906927561,8.91E-07,0.998449167,0.00026,0.788185588,8.91E-07,0.987872421,0.00011,0.656631184,8.91E-07,0.969438454,0.0035,0.917920897,8.91E-07,0.999095692,6E-05,0.02920576,8.91E-07,0.43715692,0.0004,0.976175691,8.91E-07,0.999594412,0.000065,0.964090882,8.91E-07,0.998577603,2.10E-03,9.81E-01,0.0021,0.98277635,0.0021,0.982534656,0.0021,0.98290461,0.0021,0.98621071,0.0021,0.985802295,0.0021,0.987438466,0.0021,0.989854801,6.50E-05,4.77E-01
9.5E-05,0.072015333,9.73E-07,0.858049641,9.5E-05,0.201303757,9.73E-07,0.900174061,0.000115,0.946099084,9.73E-07,0.995549179,0.0027,0.649086151,9.73E-07,0.993570697,0.0027,0.904641964,9.73E-07,0.998378537,0.00027,0.785844223,9.73E-07,0.987320144,0.000115,0.656589924,9.73E-07,0.968047405,0.0037,0.915002905,9.73E-07,0.999054507,0.000065,0.01744691,9.73E-07,0.416675807,0.00043,0.976025496,9.73E-07,0.99957594,0.00007,0.960906595,9.73E-07,0.998512822,2.25E-03,9.79E-01,0.00225,0.979102138,0.00225,0.983855777,0.00225,0.98659905,0.00225,0.988682219,0.00225,0.987794955,0.00225,0.988214513,0.00225,0.988976898,7.00E-05,4.90E-01
1E-04,0.067854348,1.06E-06,0.851663271,1E-04,0.185179086,1.06E-06,0.895655223,0.00012,0.946426681,1.06E-06,0.995346477,0.0028,0.641127676,1.06E-06,0.993277894,0.0028,0.903493439,1.06E-06,0.99830469,0.00028,0.780405915,1.06E-06,0.986742723,0.00012,0.649055049,1.06E-06,0.966593118,0.004,0.911526488,1.06E-06,0.999011446,0.00007,0.035001675,1.06E-06,0.395889028,0.00047,0.973375636,1.06E-06,0.999556627,0.000075,0.955885452,1.06E-06,0.998445091,2.45E-03,9.89E-01,0.00245,0.988833156,0.00245,0.989096012,0.00245,0.989228757,0.00245,0.990592585,0.00245,0.989517776,0.00245,0.988544623,0.00245,0.989050879,7.50E-05,4.69E-01
0.000105,0.06175315,1.16E-06,0.844997038,0.000105,0.185179086,1.16E-06,0.890934457,0.000125,0.936989247,1.16E-06,0.995134543,0.0029,0.636790144,1.16E-06,0.992971756,0.0029,0.901675759,1.16E-06,0.998227481,0.00029,0.776562719,1.16E-06,0.986139013,0.000125,0.641995647,1.16E-06,0.965072731,0.0043,0.906051132,1.16E-06,0.998966424,0.000075,0.018086557,1.16E-06,0.374849268,0.00051,0.986431831,1.16E-06,0.999536434,8E-05,0.967456437,1.16E-06,0.998374276,2.60E-03,9.77E-01,0.0026,0.970669007,0.0026,0.978786212,0.0026,0.982436495,0.0026,0.985410254,0.0026,0.984544428,0.0026,0.985289859,0.0026,0.987679773,8.00E-05,4.66E-01
0.00011,0.051085718,1.26E-06,0.838039726,0.00011,0.169054415,1.26E-06,0.886003109,0.00013,0.937279369,1.26E-06,0.994912958,0.003,0.628779532,1.26E-06,0.992651678,0.003,0.901844275,1.26E-06,0.998146755,0.0003,0.775135513,1.26E-06,0.985507817,0.00013,0.626387551,1.26E-06,0.963483251,0.0046,0.904782439,1.26E-06,0.998919352,8E-05,0.01726923,1.26E-06,0.353616507,0.00056,0.984972799,1.26E-06,0.999515322,9E-05,0.96558937,1.26E-06,0.998300235,2.80E-03,9.82E-01,0.0028,0.982011411,0.0028,0.983293194,0.0028,0.98529567,0.0028,0.985674322,0.0028,0.98548679,0.0028,0.983685643,0.0028,0.985465288,9.00E-05,4.57E-01
