xcook,ycook,Pcook,xJandW,yJandW,PJandW,xpronin,ypronin,Ppronin,xreiser,yreiser,Preiser,xtgp,ytgp,Ptgp
1.451186846,4.207,1.724,1.782625825,7.337542693,1.850997514,,,,1.743683902,6.976575558,0.7,,,
1.480970243,4.499,1.942,1.809062545,7.766217958,2.008393135,,,,1.706489786,6.534315116,0.7,,,
1.521950782,4.81,2.266,1.982715306,6.937712667,3.527236429,,,,1.671741511,6.221047302,0.7,,,
1.541659874,5.018,2.432,2.112659517,7.729540023,4.085618594,,,,,,,,,
1.565519115,5.304,2.642,2.157466206,8.018352109,4.284857755,,,,,,,,,
0.883910188,0.908,0,2.211315415,8.441018089,4.5287014,,,,,,,,,
1.287601432,3.22,2.112,2.222779162,8.682041316,4.581221862,,,,,,,,,
0.982130391,1.218,0.27,2.274843247,9.012595114,4.822396956,,,,,,,,,
1.056383979,1.67,0.563,2.311103696,9.428157769,4.992890763,,,,,,,,,
1.120906816,1.975,0.891,2.342529906,9.609931588,5.142302471,,,,,,,,,
1.163947703,2.251,1.152,2.00819429,6.953222061,3.328163033,,,,,,,,,
1.214865928,2.651,1.508,2.103354245,7.474492179,3.710890923,,,,,,,,,
1.228186954,2.75,1.61,2.18147912,8.07830072,4.036035712,,,,,,,,,
1.270790707,3.106,1.962,2.222812189,8.783918173,4.211923689,,,,,,,,,
1.325798327,3.41,2.477,2.27191088,9.053138389,4.424250165,,,,,,,,,
1.33538599,3.547,2.574,2.330833944,9.496591146,4.683822503,,,,,,,,,
1.373721343,3.848,2.984,2.424890511,10.30351519,5.108622199,,,,,,,,,
,,,1.962650445,6.865770363,2.723015999,,,,,,,,,
,,,2.059657562,7.293368024,3.063778064,,,,,,,,,
,,,2.112481223,7.71218985,3.25522625,,,,,,,,,
,,,2.181685641,8.085970631,3.512138189,,,,,,,,,
,,,2.225954875,8.525538129,3.680023229,,,,,,,,,
,,,2.258046265,9.041136281,3.803417918,,,,,,,,,
,,,2.309757547,9.174945473,4.005192474,,,,,,,,,
