temp,pressure,logtau,error,TgoverT,PoverPg,NormLog,,Tg,Pg,188.376,,,
348.15,0.075,1.892,-3.002605122,0.54827873,0.010802447,2.83E-01,,190.8832398,6.94E+00,,-6.71159,2.83E-01,
348.15,0.175,2.151,-1.391149326,0.557729699,0.025205709,2.98E-01,,194.1735947,6.94E+00,,-6.68571,2.98E-01,
348.15,0.653,2.425,-3.186857521,0.60076624,0.094053304,3.12E-01,,209.1567665,6.94E+00,,-6.5620036,3.12E-01,
348.15,0.585,2.774,0.942495955,0.594842465,0.084259085,3.33E-01,,207.0944041,6.94E+00,,-6.579602,3.33E-01,
348.15,0.877,3.174,2.184383204,0.61986165,0.126316612,3.55E-01,,215.8048334,6.94E+00,,-6.5040324,3.55E-01,
348.15,1.129,3.534,3.341707037,0.640633795,0.162612833,3.76E-01,,223.0366558,6.94E+00,,-6.4388148,3.76E-01,
348.15,1.467,3.858,3.12458306,0.667435801,0.211295861,3.93E-01,,232.3677742,6.94E+00,,-6.3513404,3.93E-01,
348.15,1.724,4.207,3.790343926,0.68708445,0.248312245,4.13E-01,,239.2084513,6.94E+00,,-6.2848288,4.13E-01,
348.15,1.942,4.498999999,4.153007763,0.703301961,0.279711357,4.30E-01,,244.8545778,6.94E+00,,-6.2284104,4.30E-01,
348.15,2.266,4.810000001,3.15650231,0.72670691,0.326377928,4.47E-01,,253.0030107,6.94E+00,,-6.1445592,4.47E-01,
348.15,2.432,5.018000001,2.984803333,0.738398056,0.350287343,4.59E-01,,257.0732833,6.94E+00,,-6.1015984,4.59E-01,
348.15,2.642,5.303999999,2.853409272,0.752916281,0.380534195,4.75E-01,,262.1278034,6.94E+00,,-6.0472504,4.75E-01,
398.15,0,0.908,-3.390691188,0.473128218,0,2.26E-01,,188.376,1.00E+01,,-6.731,2.26E-01,
398.15,2.112,3.22,2.731529085,0.625806225,0.211185505,3.53E-01,,249.1647486,1.00E+01,,-6.1844144,3.53E-01,
398.15,0.27,1.218,-2.444878117,0.495407007,0.026998147,2.42E-01,,197.2463,1.00E+01,,-6.661124,2.42E-01,
398.15,0.563,1.67,-0.156540936,0.518454235,0.056296136,2.68E-01,,206.4225536,1.00E+01,,-6.5852956,2.68E-01,
398.15,0.891,1.975,0.437494275,0.543044687,0.089093885,2.84E-01,,216.2132421,1.00E+01,,-6.5004092,2.84E-01,
398.15,1.152,2.251,1.213491113,0.561809698,0.115192094,2.99E-01,,223.6845313,1.00E+01,,-6.4328624,2.99E-01,
398.15,1.508,2.651,2.38218995,0.586394947,0.15078965,3.21E-01,,233.4731482,1.00E+01,,-6.3407296,3.21E-01,
398.15,1.61,2.75,2.523169272,0.593242846,0.16098895,3.27E-01,,236.1996391,1.00E+01,,-6.314332,3.27E-01,
398.15,1.962,3.106,2.991930921,0.616264644,0.196186535,3.47E-01,,245.3657681,1.00E+01,,-6.2232344,3.47E-01,
398.15,2.477,3.41,1.007404447,0.64841168,0.247683,3.62E-01,,258.1651105,1.00E+01,,-6.0899524,3.62E-01,
398.15,2.574,3.547,1.364026184,0.654281882,0.257382334,3.70E-01,,260.5023314,1.00E+01,,-6.0648488,3.70E-01,
398.15,2.984,3.848,-0.11349566,0.678508249,0.29837952,3.87E-01,,270.1480595,1.00E+01,,-5.9587408,3.87E-01,
